Symbol|Security Name|Market Category|Status|Test Issue
ADNY|Adino Energy Corporation Common Stock|NBB||
ADOCF|Adocia ACT (France)|NBB||
ADOCY|Adocia Sponsored ADR|NBB||
ADOOY|Adaro Energy PT Unsponsored ADR (Indonesia)|NBB||
ADPAJ|Adelphia Recovery Trust Series Arahova Int|NBB||
ADPAL|Adelphia Recovery Trust  Ser ACC-6 E/F INT|NBB||
ADPAN|Adelphia Recovery Trust CVV Ser ACC-7 Int|NBB||
ADPAO|Adelphia Contingent Value Veh Contingent Value Veh CVV Series ACC-4 INT|NBB||
ADPAR|Adelphia Recovery Trust  Ser ACC-6D INT|NBB||
ADPAS|Adelphia Recovery Trust  Series ACC-1 Int|NBB||
ADPAT|Adelphia Recovery Trust  Series ACC-6B Int|NBB||
ADPC|Allied Products Corp Common Stock|NBB||
ADPMF|Ad Pepper Media International NV Ordinary Shares (Netherlands)|NBB||
ADPXF|Audio Pixels Holdings Ltd Ordinary Shares (Australia)|NBB||
ADPXY|Audio Pixels Holdings Ltd Sponsored ADR (Australia)|NBB||
ADREF|Adler Real Estate AG Shs (Germany Federal Republic)|NBB||
ADRGF|Amador Gold Corporation Ordinary Shares|NBB||
ADRN|Adarna Energy Corporation. Common Stock|NBB||
ADRNF|Aderans Co. Ltd Ordinary Shares (Japan)|NBB||
ADRXF|Fennec Pharmaceuticals, Inc. Warrants Expiring 03/30/2016 (Canada)|NBB||
ADRZF|Andritz Ag Graz Ordinary Shares|NBB||
ADRZY|Andritz Ag Graz Unsponsored ADR (Austria)|NBB||
ADSLF|Adslot Ltd Ordinary Shares (Australia)|NBB||
ADSN|Adelt Design, Inc. Common|BB|ACTIVE|
ADST|AdStar, Inc. Common Stock|NBB||
ADSV|Allied Security Innovations, Inc. NEW Common Stock|NBB||
ADTCQ|Advanced Deposition Technologies, Inc. Common Stock|NBB||
ADTFF|Adroit Resources Inc Ordinary Shares (Canada)|NBB||
ADTM|Adaptive Medias, Inc. Common Stock|NBB||
ADTR|Alliance Distributors Holding Inc. Common Stock|NBB||
ADTTF|Advantest Corp Ordinary Shares|NBB||
ADTY|Adtegrity.Com International Inc Common Stock|NBB||
ADVA|Advatech Corp Common Stock|NBB||
ADVC|Advant-e Corporation Common Stock|NBB||
ADVOF|Adva Optical Networking SE Ordinary Shares (Germany)|NBB||
ADWPF|Andrew Peller Ltd Class A Ordinary Shares (Canada)|NBB||
ADXDF|Adex Mining Corp Ordinary Shares|NBB||
ADXM|Adex Media, Inc. Common Stock|NBB||
ADXRF|ADX Energy Ltd Ordinary Shares (Australia)|NBB||
ADYBY|Aditya Birla Nuvo Limted Sponsored 144A ADR (India)|NBB||
ADZZF|Advance Residence Investment Corporation New, Tokyo Ordinary Shares (Japan)|NBB||
AEBMY|Anadolu Efes Biracilik Ve Malt Sanayi SA Sponsored 144A ADR|NBB||
AEBZY|Anadolu Efes Biracilik Ve Malt Sanayi AS Sponsored ADR Reg S (Turkey)|NBB||
AECFF|Action Energy Inc Ordinary Shares (Canada)|NBB||
AECJY|Allied Electronics Corp Ltd Unsponsored ADR (South Africa)|NBB||
AECLY|Ae & Ci Ltd Ord American Depositary Shares|NBB||
AECS|AEC Holdings, Corp. New Common Stock|NBB||
AEDC|American Energy Development Corp. Common Stock|NBB||
AEEI|American Environmental Energy, Inc. Common Stock|NBB||
AEGA|AEGEA Inc. Common|NBB||
AEGG|American Energy Group, Ltd. New Common Stock|NBB||
AEGMF|Alliance Gold Mines Nl Ordinary Shares|NBB||
AEGOF|Aegon NV Ordinary Shares (Netherlands)|NBB||
AEGXF|AECON GROUP INC Ordinary Shares|NBB||
AEGY|Alternative Energy Partners Inc. Common Stock|NBB||
AEHI|Alternate Energy Holdings Inc. Common Stock|NBB||
AELEF|Alpine Electronics Inc Ordinary Shares|NBB||
AELGF|Aer Longus Group plc Dublin Ordinary Shares (Ireland)|NBB||
AELIY|Anadolu Hayat Emeklilik AS Unsponsored ADR (Turkey)|NBB||
AELTF|Adacel Technologies Ltd Ordinary Shares|NBB||
